List of samples to include in HIGH Si PLS model 
Index,Sample name 
526,JSC1375     
527,JSC1375     
528,JSC1375     
529,JSC1375     
530,JSC1375     
541,JSC1377     
542,JSC1377     
543,JSC1377     
544,JSC1377     
545,JSC1377     
566,JSC1427     
567,JSC1427     
568,JSC1427     
569,JSC1427     
570,JSC1427     
576,JSC1383     
577,JSC1383     
578,JSC1383     
579,JSC1383     
580,JSC1383     
586,JSC1384     
587,JSC1384     
588,JSC1384     
589,JSC1384     
590,JSC1384     
591,JSC1385     
592,JSC1385     
593,JSC1385     
594,JSC1385     
595,JSC1385     
596,JSC1386     
597,JSC1386     
598,JSC1386     
599,JSC1386     
600,JSC1386     
601,JSC1387     
602,JSC1387     
603,JSC1387     
604,JSC1387     
605,JSC1387     
606,JSC1388     
607,JSC1388     
608,JSC1388     
609,JSC1388     
610,JSC1388     
611,JSC1429     
612,JSC1429     
613,JSC1429     
614,JSC1429     
615,JSC1429     
616,JSC1430     
617,JSC1430     
618,JSC1430     
619,JSC1430     
620,JSC1430     
621,JSC1431     
622,JSC1431     
623,JSC1431     
624,JSC1431     
625,JSC1431     
666,JSC1432     
667,JSC1432     
668,JSC1432     
669,JSC1432     
670,JSC1432     
671,JSC1454     
672,JSC1454     
673,JSC1454     
674,JSC1454     
675,JSC1454     
676,JSC1433     
677,JSC1433     
678,JSC1433     
679,JSC1433     
680,JSC1433     
736,JSC1422     
737,JSC1422     
738,JSC1422     
739,JSC1422     
740,JSC1422     
806,JSC1406     
807,JSC1406     
808,JSC1406     
809,JSC1406     
810,JSC1406     
811,JSC1407     
812,JSC1407     
813,JSC1407     
814,JSC1407     
815,JSC1407     
911,JSC1455     
912,JSC1455     
913,JSC1455     
914,JSC1455     
915,JSC1455     
1086,MIX4D       
1087,MIX4D       
1088,MIX4D       
1089,MIX4D       
1090,MIX4D       
1091,MIX4O       
1092,MIX4O       
1093,MIX4O       
1094,MIX4O       
1095,MIX4O       
1165,LP4         
1166,LP4         
1167,LP4         
1168,LP4         
1169,LP4         
1170,LP11        
1171,LP11        
1172,LP11        
1173,LP11        
1174,LP11        
1175,LP30        
1176,LP30        
1177,LP30        
1178,LP30        
1179,LP30        
1180,LP20        
1181,LP20        
1182,LP20        
1183,LP20        
1184,LP20        
1185,LP28        
1195,MN45        
1196,MN45        
1197,MN45        
1198,MN45        
1199,MN45        
1200,MNFN        
1201,MNFN        
1202,MNFN        
1203,MNFN        
1204,MNFN        
1205,MNK         
1206,MNK         
1207,MNK         
1208,MNK         
1209,MNK         
1210,R11         
1211,R11         
1212,R11         
1213,R11         
1214,R11         
1215,R21         
1216,R21         
1217,R21         
1218,R21         
1219,R21         
1220,R22         
1221,R22         
1222,R22         
1223,R22         
1224,R22         
1225,R23         
1226,R23         
1227,R23         
1228,R23         
1229,R23         
1230,R24         
1231,R24         
1232,R24         
1233,R24         
1234,R24         
1235,R41         
1236,R41         
1237,R41         
1238,R41         
1239,R41         
1240,R42         
1241,R42         
1242,R42         
1243,R42         
1244,R42         
1245,R43         
1246,R43         
1247,R43         
1248,R43         
1249,R43         
1250,R44         
1251,R44         
1252,R44         
1253,R44         
1254,R44         
1255,R45         
1256,R45         
1257,R45         
1258,R45         
1259,R45         
1260,R61         
1261,R61         
1262,R61         
1263,R61         
1264,R61         
1265,R62         
1266,R62         
1267,R62         
1268,R62         
1269,R62         
1270,R63         
1271,R63         
1272,R63         
1273,R63         
1274,R63         
1275,R65         
1276,R65         
1277,R65         
1278,R65         
1279,R65         
1280,PS1         
1281,PS1         
1282,PS1         
1283,PS1         
1284,PS1         
1285,PS4         
1286,PS4         
1287,PS4         
1288,PS4         
1289,PS4         
1290,PS5         
1291,PS5         
1292,PS5         
1293,PS5         
1294,PS5         
1295,PL1         
1296,PL1         
1297,PL1         
1298,PL1         
1299,PL1         
1300,PL3         
1301,PL3         
1302,PL3         
1303,PL3         
1304,PL3         
1305,PL4         
1306,PL4         
1307,PL4         
1308,PL4         
1309,PL4         
1310,PL5         
1311,PL5         
1312,PL5         
1313,PL5         
1314,PL5         
1315,S3A         
1316,S3A         
1317,S3A         
1318,S3A         
1319,S3A         
1320,S3B         
1321,S3B         
1322,S3B         
1323,S3B         
1324,S3B         
1325,S4          
1326,S4          
1327,S4          
1328,S4          
1329,S4          
1335,57A         
1336,57A         
1337,57A         
1338,57A         
1339,57A         
1340,67          
1341,67          
1342,67          
1343,67          
1344,67          
1345,81          
1346,81          
1347,81          
1348,81          
1349,81          
1355,130         
1356,130         
1357,130         
1358,130         
1359,130         
1360,132         
1361,132         
1362,132         
1363,132         
1364,132         
1380,34P1        
1381,34P1        
1382,34P1        
1383,34P1        
1384,34P1        
1385,34P4        
1386,34P4        
1387,34P4        
1388,34P4        
1389,34P4        
1390,G1MT        
1391,G1MT        
1392,G1MT        
1393,G1MT        
1394,G1MT        
1395,G2MT        
1396,G2MT        
1397,G2MT        
1398,G2MT        
1399,G2MT        
1400,G3MT        
1401,G3MT        
1402,G3MT        
1403,G3MT        
1404,G3MT        
1405,G4MT        
1406,G4MT        
1407,G4MT        
1408,G4MT        
1409,G4MT        
1410,G5MT        
1411,G5MT        
1412,G5MT        
1413,G5MT        
1414,G5MT        
1415,G6MT        
1416,G6MT        
1417,G6MT        
1418,G6MT        
1419,G6MT        
1420,G7MT        
1421,G7MT        
1422,G7MT        
1423,G7MT        
1424,G7MT        
1425,G8MT        
1426,G8MT        
1427,G8MT        
1428,G8MT        
1429,G8MT        
1430,G9MT        
1431,G9MT        
1432,G9MT        
1433,G9MT        
1434,G9MT        
1435,G10MT       
1436,G10MT       
1437,G10MT       
1438,G10MT       
1439,G10MT       
1440,G11MT       
1441,G11MT       
1442,G11MT       
1443,G11MT       
1444,G11MT       
1445,G12MT       
1446,G12MT       
1447,G12MT       
1448,G12MT       
1449,G12MT       
1450,G13MT       
1451,G13MT       
1452,G13MT       
1453,G13MT       
1454,G13MT       
1455,G14MT       
1456,G14MT       
1457,G14MT       
1458,G14MT       
1459,G14MT       
1460,G15MT       
1461,G15MT       
1462,G15MT       
1463,G15MT       
1464,G15MT       
1465,G16MT       
1466,G16MT       
1467,G16MT       
1468,G16MT       
1469,G16MT       
1470,G17MT       
1471,G17MT       
1472,G17MT       
1473,G17MT       
1474,G17MT       
1475,G18MT       
1476,G18MT       
1477,G18MT       
1478,G18MT       
1479,G18MT       
1480,G19MT       
1481,G19MT       
1482,G19MT       
1483,G19MT       
1484,G19MT       
1485,G20MT       
1486,G20MT       
1487,G20MT       
1488,G20MT       
1489,G20MT       
1490,G21MT       
1491,G21MT       
1492,G21MT       
1493,G21MT       
1494,G21MT       
1495,G22MT       
1496,G22MT       
1497,G22MT       
1498,G22MT       
1499,G22MT       
1500,G23MT       
1501,G23MT       
1502,G23MT       
1503,G23MT       
1504,G23MT       
1505,G24MT       
1506,G24MT       
1507,G24MT       
1508,G24MT       
1509,G24MT       
1510,G25MT       
1511,G25MT       
1512,G25MT       
1513,G25MT       
1514,G25MT       
1515,G26MT       
1516,G26MT       
1517,G26MT       
1518,G26MT       
1519,G26MT       
1520,G27MT       
1521,G27MT       
1522,G27MT       
1523,G27MT       
1524,G27MT       
1525,G28MT       
1526,G28MT       
1527,G28MT       
1528,G28MT       
1529,G28MT       
1530,GL1MT       
1531,GL1MT       
1532,GL1MT       
1533,GL1MT       
1534,GL1MT       
1535,GL2MT       
1536,GL2MT       
1537,GL2MT       
1538,GL2MT       
1539,GL2MT       
1540,GL3MT       
1541,GL3MT       
1542,GL3MT       
1543,GL3MT       
1544,GL3MT       
1550,GL5MT       
1551,GL5MT       
1552,GL5MT       
1553,GL5MT       
1554,GL5MT       
1555,GL6MT       
1556,GL6MT       
1557,GL6MT       
1558,GL6MT       
1559,GL6MT       
1560,GL7MT       
1561,GL7MT       
1562,GL7MT       
1563,GL7MT       
1564,GL7MT       
1565,M1MT        
1566,M1MT        
1567,M1MT        
1568,M1MT        
1569,M1MT        
1570,M2MT        
1571,M2MT        
1572,M2MT        
1573,M2MT        
1574,M2MT        
1575,M3MT        
1576,M3MT        
1577,M3MT        
1578,M3MT        
1579,M3MT        
1580,M4MT        
1581,M4MT        
1582,M4MT        
1583,M4MT        
1584,M4MT        
1585,M5MT        
1586,M5MT        
1587,M5MT        
1588,M5MT        
1589,M5MT        
1590,M6MT        
1591,M6MT        
1592,M6MT        
1593,M6MT        
1594,M6MT        
1595,M7MT        
1596,M7MT        
1597,M7MT        
1598,M7MT        
1599,M7MT        
1600,M8MT        
1601,M8MT        
1602,M8MT        
1603,M8MT        
1604,M8MT        
1605,P1MT        
1606,P1MT        
1607,P1MT        
1608,P1MT        
1609,P1MT        
1610,P2MT        
1611,P2MT        
1612,P2MT        
1613,P2MT        
1614,P2MT        
1615,P3MT        
1616,P3MT        
1617,P3MT        
1618,P3MT        
1619,P3MT        
1620,P4MT        
1621,P4MT        
1622,P4MT        
1623,P4MT        
1624,P4MT        
1625,P5MT        
1626,P5MT        
1627,P5MT        
1628,P5MT        
1629,P5MT        
1630,P6MT        
1631,P6MT        
1632,P6MT        
1633,P6MT        
1634,P6MT        
1635,P7MT        
1636,P7MT        
1637,P7MT        
1638,P7MT        
1639,P7MT        
1640,P8MT        
1641,P8MT        
1642,P8MT        
1643,P8MT        
1644,P8MT        
1645,P9MT        
1646,P9MT        
1647,P9MT        
1648,P9MT        
1649,P9MT        
1650,P10MT       
1651,P10MT       
1652,P10MT       
1653,P10MT       
1654,P10MT       
1655,P11MT       
1656,P11MT       
1657,P11MT       
1658,P11MT       
1659,P11MT       
1660,P12MT       
1661,P12MT       
1662,P12MT       
1663,P12MT       
1664,P12MT       
1665,P13MT       
1666,P13MT       
1667,P13MT       
1668,P13MT       
1669,P13MT       
1675,54940M      
1676,54940M      
1677,54940M      
1678,54940M      
1679,54940M      
1680,54941M      
1681,54941M      
1682,54941M      
1683,54941M      
1684,54941M      
1685,54942M      
1686,54942M      
1687,54942M      
1688,54942M      
1689,54942M      
1695,54947M      
1696,54947M      
1697,54947M      
1698,54947M      
1699,54947M      
1710,54944M      
1711,54944M      
1712,54944M      
1713,54944M      
1714,54944M      
1715,R2098M      
1716,R2098M      
1717,R2098M      
1718,R2098M      
1719,R2098M      
1720,R2100M      
1721,R2100M      
1722,R2100M      
1723,R2100M      
1724,R2100M      
1725,42877M      
1726,42877M      
1727,42877M      
1728,42877M      
1729,42877M      
1730,46436M      
1731,46436M      
1732,46436M      
1733,46436M      
1734,46436M      
1735,DKM2390     
1736,DKM2390     
1737,DKM2390     
1738,DKM2390     
1739,DKM2390     
1740,DKM1490     
1741,DKM1490     
1742,DKM1490     
1743,DKM1490     
1744,DKM1490     
1745,DKM1390     
1746,DKM1390     
1747,DKM1390     
1748,DKM1390     
1749,DKM1390     
1750,DKM2290     
1751,DKM2290     
1752,DKM2290     
1753,DKM2290     
1754,DKM2290     
1755,DKM2190     
1756,DKM2190     
1757,DKM2190     
1758,DKM2190     
1759,DKM2190     
1760,DKM1790     
1761,DKM1790     
1762,DKM1790     
1763,DKM1790     
1764,DKM1790     
1765,DKM1890     
1766,DKM1890     
1767,DKM1890     
1768,DKM1890     
1769,DKM1890     
1770,DKM1590     
1771,DKM1590     
1772,DKM1590     
1773,DKM1590     
1774,DKM1590     
1775,DKM390      
1776,DKM390      
1777,DKM390      
1778,DKM390      
1779,DKM390      
1780,DKM1190     
1781,DKM1190     
1782,DKM1190     
1783,DKM1190     
1784,DKM1190     
1785,DKM3090     
1786,DKM3090     
1787,DKM3090     
1788,DKM3090     
1789,DKM3090     
1790,DKM2990     
1791,DKM2990     
1792,DKM2990     
1793,DKM2990     
1794,DKM2990     
1795,DKM3290     
1796,DKM3290     
1797,DKM3290     
1798,DKM3290     
1799,DKM3290     
1800,AO12        
1801,AO12        
1802,AO12        
1803,AO12        
1804,AO12        
1805,AO10        
1806,AO10        
1807,AO10        
1808,AO10        
1809,AO10        
1810,AO9         
1811,AO9         
1812,AO9         
1813,AO9         
1814,AO9         
1815,AO8         
1816,AO8         
1817,AO8         
1818,AO8         
1819,AO8         
1820,AO7         
1821,AO7         
1822,AO7         
1823,AO7         
1824,AO7         
1825,AO6         
1826,AO6         
1827,AO6         
1828,AO6         
1829,AO6         
1830,CL5         
1831,CL5         
1832,CL5         
1833,CL5         
1834,CL5         
1835,MI1         
1836,MI1         
1837,MI1         
1838,MI1         
1839,MI1         
1840,MI4         
1841,MI4         
1842,MI4         
1843,MI4         
1844,MI4         
1845,MI5         
1846,MI5         
1847,MI5         
1848,MI5         
1849,MI5         
1850,PL7         
1851,PL7         
1852,PL7         
1853,PL7         
1854,PL7         
1855,PL6         
1856,PL6         
1857,PL6         
1858,PL6         
1859,PL6         
1860,PL1B        
1861,PL1B        
1862,PL1B        
1863,PL1B        
1864,PL1B        
1865,PW7         
1866,PW7         
1867,PW7         
1868,PW7         
1869,PW7         
1870,PW6         
1871,PW6         
1872,PW6         
1873,PW6         
1874,PW6         
1875,PW5         
1876,PW5         
1877,PW5         
1878,PW5         
1879,PW5         
1880,PW3         
1881,PW3         
1882,PW3         
1883,PW3         
1884,PW3         
1890,SC8         
1891,SC8         
1892,SC8         
1893,SC8         
1894,SC8         
1895,SC7         
1896,SC7         
1897,SC7         
1898,SC7         
1899,SC7         
1900,SC6         
1901,SC6         
1902,SC6         
1903,SC6         
1904,SC6         
1905,SC5         
1906,SC5         
1907,SC5         
1908,SC5         
1909,SC5         
1910,SC4         
1911,SC4         
1912,SC4         
1913,SC4         
1914,SC4         
1915,SC3         
1916,SC3         
1917,SC3         
1918,SC3         
1919,SC3         
1920,SC2         
1921,SC2         
1922,SC2         
1923,SC2         
1924,SC2         
1925,SC1         
1926,SC1         
1927,SC1         
1928,SC1         
1929,SC1         
1930,PG1         
1931,PG1         
1932,PG1         
1933,PG1         
1934,PG1         
1935,PG2         
1936,PG2         
1937,PG2         
1938,PG2         
1939,PG2         
1940,PG3         
1941,PG3         
1942,PG3         
1943,PG3         
1944,PG3         
1945,PG4         
1946,PG4         
1947,PG4         
1948,PG4         
1949,PG4         
1950,PG5         
1951,PG5         
1952,PG5         
1953,PG5         
1954,PG5         
1955,PG6         
1956,PG6         
1957,PG6         
1958,PG6         
1959,PG6         
1960,PG7         
1961,PG7         
1962,PG7         
1963,PG7         
1964,PG7         
1970,8005        
1971,8005        
1972,8005        
1973,8005        
1974,8005        
1975,8006        
1976,8006        
1977,8006        
1978,8006        
1979,8006        
1980,WC1         
1981,WC1         
1982,WC1         
1983,WC1         
1984,WC1         
1995,221123      
1996,221123      
1997,221123      
1998,221123      
1999,221123      
2010,221136      
2012,221136      
2013,221136      
2014,221136      
2015,201424      
2016,201424      
2017,201424      
2018,201424      
2019,201424      
2020,201426      
2021,201426      
2022,201426      
2023,201426      
2024,201426      
2025,201428      
2026,201428      
2027,201428      
2028,201428      
2029,201428      
2030,221137      
2031,221137      
2032,221137      
2033,221137      
2034,221137      
2035,221138      
2036,221138      
2037,221138      
2038,221138      
2039,221138      
